Number,Name,Bus     1,Bus     3,Bus     5,Bus    10,Bus    12,Bus    13,Bus    14,Bus    15,Bus    16,Bus    17,Bus    18,Bus    19,Bus    20,Bus    21,Bus    24,Bus    27,Bus    28,Bus    29,Bus    30,Bus    31,Bus    32,Bus    33,Bus    34,Bus    35,Bus    37,Bus    38,Bus    39,Bus    40,Bus    41,Bus    44,Bus    47,Bus    48,Bus    50,Bus    53,Bus    54,Bus    55,Bus    56
1,TEXAS345,8.72 - j73.53,,,,,,,,,,,,,,,,,,,-8.47 + j57.58,,,,,,,,-0.26 + j16.05,,,,,,,,,
3,WHITE138,,6.18 - j43.79,,,,,,,,,,,,,,,,,,,,,,,,,,-3.49 + j26.72,-2.70 + j17.09,,,,,,,,
5,YELL69,,,9.53 - j38.63,,,,,,,,-5.99 + j23.47,,,,,,,,,,,,,,,,,,,-3.55 + j15.16,,,,,,,
10,HOWDY69,,,,8.98 - j42.83,,-4.58 + j10.71,,,,,,-3.78 + j8.89,,,,,,,,,,,,,,,-0.65 + j24.24,,,,,,,,,,
12,TEXAS69,,,,,10.84 - j82.55,,,,,-4.11 + j13.13,-3.16 + j10.25,,,,,-2.40 + j12.78,,,,,,,,,,,,-1.20 + j48.16,,,,,,,,,
13,12MAN69,,,,-4.58 + j10.71,,7.38 - j26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.79 + j16.07,
14,RUDDER69,,,,,,,9.67 - j22.29,,,,,,,,,,,,,,,,-5.03 + j12.90,,,,,,,-4.64 + j9.42,,,,,,,
15,TREE69,,,,,,,,369.16 - j237.43,-83.14 + j64.26,,,,,,-16.01 + j24.82,,,,,,,,,,,,,,,,,,,,-270.01 + j148.40,,
16,CENTURY69,,,,,,,,-83.14 + j64.26,102.86 - j134.94,,,,,,,-19.73 + j70.72,,,,,,,,,,,,,,,,,,,,,
17,BATT69,,,,,-4.11 + j13.13,,,,,17.39 - j30.88,,-13.28 + j17.75,,,,,,,,,,,,,,,,,,,,,,,,,
18,MAROON69,,,-5.99 + j23.47,,-3.16 + j10.25,,,,,,160.17 - j116.71,,,,,,,,,,,,,,-151.03 + j83.01,,,,,,,,,,,,
19,NORTHGATE69,,,,-3.78 + j8.89,,,,,,-13.28 + j17.75,,17.05 - j26.63,,,,,,,,,,,,,,,,,,,,,,,,,
